ID,ROW_ID,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,INVENTORY_OPENING_BALANCE,UNIT
.1~193,193,01,09,01/09,2,9,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,6000.000,KG
.1~875,875,02,20,02/20,8,40,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,1400.700,KG
.1~765,765,02,15,02/15,7,35,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,24000.000,KG
.1~545,545,02,05,02/05,5,25,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,11250.000,KG
.1~655,655,02,10,02/10,6,30,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,1050.000,KG
.1~61,61,01,03,01/03,1,3,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,12000.000,KG
.1~17,17,01,01,01/01,1,1,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,0.000,KG
.1~589,589,02,07,02/07,6,27,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,7200.500,KG
.1~391,391,01,18,01/18,4,18,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,30450.000,KG
.1~325,325,01,15,01/15,3,15,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,23566.800,KG
.1~369,369,01,17,01/17,4,17,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,30450.000,KG
.1~611,611,02,08,02/08,6,28,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,7050.000,KG
.1~413,413,01,19,01/19,4,19,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,30450.000,KG
.1~523,523,02,04,02/04,5,24,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,11250.000,KG
.1~897,897,03,01,03/01,9,41,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,0.000,KG
.1~105,105,01,05,01/05,1,5,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,9000.000,KG
.1~303,303,01,14,01/14,3,14,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,24816.800,KG
.1~501,501,02,03,02/03,5,23,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,11250.000,KG
.1~941,941,03,03,03/03,9,43,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,0.000,KG
.1~633,633,02,09,02/09,6,29,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,3425.850,KG
.1~435,435,01,20,01/20,4,20,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,25951.200,KG
.1~699,699,02,12,02/12,7,32,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,1050.000,KG
.1~281,281,01,13,01/13,3,13,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,24900.000,KG
.1~347,347,01,16,01/16,4,16,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,23400.000,KG
.1~853,853,02,19,02/19,8,39,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,3900.700,KG
.1~457,457,02,01,02/01,5,21,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,18451.200,KG
.1~479,479,02,02,02/02,5,22,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,11250.000,KG
.1~567,567,02,06,02/06,6,26,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,9700.500,KG
.1~677,677,02,11,02/11,7,31,88,AA-R01,Nuts,Raw materials,R01,"",Nuts,1050.000,KG
.1~924,924,03,02,03/02,9,42,88,AA-R06,Oats,Raw materials,R06,"",Oats,19019.350,KG
.1~22,22,01,01,01/01,1,1,88,AA-R06,Oats,Raw materials,R06,"",Oats,0.000,KG
.1~946,946,03,03,03/03,9,43,88,AA-R06,Oats,Raw materials,R06,"",Oats,10269.350,KG
.1~704,704,02,12,02/12,7,32,88,AA-R06,Oats,Raw materials,R06,"",Oats,20505.275,KG
.1~286,286,01,13,01/13,3,13,88,AA-R06,Oats,Raw materials,R06,"",Oats,92004.575,KG
.1~682,682,02,11,02/11,7,31,88,AA-R06,Oats,Raw materials,R06,"",Oats,24151.050,KG
.1~308,308,01,14,01/14,3,14,88,AA-R06,Oats,Raw materials,R06,"",Oats,88400.400,KG
.1~660,660,02,10,02/10,6,30,88,AA-R06,Oats,Raw materials,R06,"",Oats,28526.050,KG
.1~330,330,01,15,01/15,3,15,88,AA-R06,Oats,Raw materials,R06,"",Oats,84650.400,KG
.1~638,638,02,09,02/09,6,29,88,AA-R06,Oats,Raw materials,R06,"",Oats,32171.825,KG
.1~352,352,01,16,01/16,4,16,88,AA-R06,Oats,Raw materials,R06,"",Oats,81088.025,KG
